hazard,climate_scenario,model,year,return_period,key,url
river,4.5,GFDL-ESM2M,2030,2,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_2,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00002.tif
river,4.5,GFDL-ESM2M,2030,5,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00005.tif
river,4.5,GFDL-ESM2M,2030,10,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_10,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00010.tif
river,4.5,GFDL-ESM2M,2030,25,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_25,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00025.tif
river,4.5,GFDL-ESM2M,2030,50,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00050.tif
river,4.5,GFDL-ESM2M,2030,100,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_100,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00100.tif
river,4.5,GFDL-ESM2M,2030,250,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_250,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00250.tif
river,4.5,GFDL-ESM2M,2030,500,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_500,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp00500.tif
river,4.5,GFDL-ESM2M,2030,1000,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2030__rp_1000,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2030_rp01000.tif
river,4.5,GFDL-ESM2M,2050,2,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_2,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00002.tif
river,4.5,GFDL-ESM2M,2050,5,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00005.tif
river,4.5,GFDL-ESM2M,2050,10,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_10,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00010.tif
river,4.5,GFDL-ESM2M,2050,25,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_25,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00025.tif
river,4.5,GFDL-ESM2M,2050,50,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00050.tif
river,4.5,GFDL-ESM2M,2050,100,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_100,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00100.tif
river,4.5,GFDL-ESM2M,2050,250,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_250,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00250.tif
river,4.5,GFDL-ESM2M,2050,500,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_500,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp00500.tif
river,4.5,GFDL-ESM2M,2050,1000,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2050__rp_1000,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2050_rp01000.tif
river,4.5,GFDL-ESM2M,2080,2,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2080__rp_2,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2080_rp00002.tif
river,4.5,GFDL-ESM2M,2080,5,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2080__rp_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2080_rp00005.tif
river,4.5,GFDL-ESM2M,2080,10,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2080__rp_10,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2080_rp00010.tif
river,4.5,GFDL-ESM2M,2080,25,hazard_river__rcp_4.5__model_GFDL-ESM2M__y_2080__rp_25,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inunriver_rcp4p5_0000GFDL-ESM2M_2080_rp00025.tif
