hazard,climate_scenario,subsidence,year,return_period,sea_level_rise_percentile,key,url
coastal,8.5,wtsub,2030,50,50,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_50__perc_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0050_0_perc_50.tif
coastal,8.5,wtsub,2030,100,95,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_100__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0100_0.tif
coastal,8.5,wtsub,2030,100,5,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_100__perc_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0100_0_perc_05.tif
coastal,8.5,wtsub,2030,100,50,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_100__perc_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0100_0_perc_50.tif
coastal,8.5,wtsub,2030,250,95,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_250__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0250_0.tif
coastal,8.5,wtsub,2030,250,5,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_250__perc_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0250_0_perc_05.tif
coastal,8.5,wtsub,2030,250,50,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_250__perc_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0250_0_perc_50.tif
coastal,8.5,wtsub,2030,500,95,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_500__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0500_0.tif
coastal,8.5,wtsub,2030,500,5,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_500__perc_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0500_0_perc_05.tif
coastal,8.5,wtsub,2030,500,50,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_500__perc_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp0500_0_perc_50.tif
coastal,8.5,wtsub,2030,1000,95,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_1000__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp1000_0.tif
coastal,8.5,wtsub,2030,1000,5,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_1000__perc_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp1000_0_perc_05.tif
coastal,8.5,wtsub,2030,1000,50,hazard_coastal__rcp_8.5__sub_wtsub__y_2030__rp_1000__perc_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2030_rp1000_0_perc_50.tif
coastal,8.5,wtsub,2050,1.5,95,hazard_coastal__rcp_8.5__sub_wtsub__y_2050__rp_1.5__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0001_5.tif
coastal,8.5,wtsub,2050,1.5,5,hazard_coastal__rcp_8.5__sub_wtsub__y_2050__rp_1.5__perc_5,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0001_5_perc_05.tif
coastal,8.5,wtsub,2050,1.5,50,hazard_coastal__rcp_8.5__sub_wtsub__y_2050__rp_1.5__perc_50,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0001_5_perc_50.tif
coastal,8.5,wtsub,2050,2,95,hazard_coastal__rcp_8.5__sub_wtsub__y_2050__rp_2__perc_95,http://wri-projects.s3.amazonaws.com/AqueductFloodTool/download/v2/inuncoast_rcp8p5_wtsub_2050_rp0002_0.tif
